order,book,chapter,verse,translation,text
19,Psalms,27,11,NIV,"Teach me your way, LORD;<br> lead me in a straight path<br> because of my oppressors."
19,Psalms,27,12,NIV,"Do not turn me over to the desire of my foes,<br> for false witnesses rise up against me,<br> spouting malicious accusations."
19,Psalms,27,13,NIV,I remain confident of this:<br> I will see the goodness of the LORD<br> in the land of the living.
19,Psalms,27,14,NIV,Wait for the LORD;<br> be strong and take heart<br> and wait for the LORD.
19,Psalms,40,1,NIV,I waited patiently for the LORD;<br> he turned to me and heard my cry.
19,Psalms,40,2,NIV,"He lifted me out of the slimy pit,<br> out of the mud and mire;<br> he set my feet on a rock<br> and gave me a firm place to stand."
19,Psalms,40,3,NIV,"He put a new song in my mouth,<br> a hymn of praise to our God.<br> Many will see and fear the LORD<br> and put their trust in him."
19,Psalms,40,4,NIV,"Blessed is the one<br> who trusts in the LORD,<br> who does not look to the proud,<br> to those who turn aside to false gods."
19,Psalms,40,5,NIV,"Many, LORD my God,<br> are the wonders you have done,<br> the things you planned for us.<br> None can compare with you;<br> were I to speak and tell of your deeds,<br> they would be too many to declare."
19,Psalms,40,6,NIV,Sacrifice and offering you did not desire—<br> but my ears you have opened—<br> burnt offerings and sin offerings you did not require.
19,Psalms,40,7,NIV,"Then I said, “Here I am, I have come—<br> it is written about me in the scroll."
19,Psalms,40,8,NIV,"I desire to do your will, my God;<br> your law is within my heart.”"
19,Psalms,40,9,NIV,"I proclaim your saving acts in the great assembly;<br> I do not seal my lips, LORD,<br> as you know."
19,Psalms,40,10,NIV,I do not hide your righteousness in my heart;<br> I speak of your faithfulness and your saving help.<br> I do not conceal your love and your faithfulness<br> from the great assembly.
19,Psalms,40,11,NIV,"Do not withhold your mercy from me, LORD;<br> may your love and faithfulness always protect me."
19,Psalms,40,12,NIV,"For troubles without number surround me;<br> my sins have overtaken me, and I cannot see.<br> They are more than the hairs of my head,<br> and my heart fails within me."
19,Psalms,40,13,NIV,"Be pleased to save me, LORD;<br> come quickly, LORD, to help me."
19,Psalms,40,14,NIV,May all who want to take my life<br> be put to shame and confusion;<br> may all who desire my ruin<br> be turned back in disgrace.
19,Psalms,40,15,NIV,"May those who say to me, “Aha! Aha!”<br> be appalled at their own shame."
19,Psalms,40,16,NIV,"But may all who seek you<br> rejoice and be glad in you;<br> may those who long for your saving help always say,<br> “The LORD is great!”"
19,Psalms,40,17,NIV,"But as for me, I am poor and needy;<br> may the LORD think of me.<br> You are my help and my deliverer;<br> you are my God, do not delay."
19,Psalms,91,1,NIV,Whoever dwells in the shelter of the Most High <br> will rest in the shadow of the Almighty.
19,Psalms,91,2,NIV,"I will say of the LORD, ""He is my refuge and my fortress, <br> my God, in whom I trust."""
19,Psalms,91,3,NIV,Surely he will save you <br> from the fowler's snare <br>and from the deadly pestilence.
19,Psalms,91,4,NIV,"He will cover you with his feathers, <br> and under his wings you will find refuge; <br> his faithfulness will be your shield and rampart."
19,Psalms,91,5,NIV,"You will not fear the terror of night,<br> nor the arrow that flies by day,"
19,Psalms,91,6,NIV,"nor the pestilence that stalks in the darkness,<br> nor the plague that destroys at midday."
19,Psalms,91,7,NIV,"A thousand may fall at your side,<br> ten thousand at your right hand,<br> but it will not come near you."
19,Psalms,91,8,NIV,You will only observe with your eyes<br> and see the punishment of the wicked.
19,Psalms,91,9,NIV,"If you say, ""The LORD is my refuge,""<br> and you make the Most High your dwelling,"
19,Psalms,91,10,NIV,"no harm will overtake you,<br> no disaster will come near your tent."
19,Psalms,91,11,NIV,For he will command his angels concerning you<br> to guard you in all your ways;
19,Psalms,91,12,NIV,"they will lift you up in their hands,<br> so that you will not strike your foot against a stone."
19,Psalms,91,13,NIV,You will tread on the lion and the cobra;<br> you will trample the great lion and the serpent.
19,Psalms,91,14,NIV,"""Because he loves me,"" says the LORD, ""I will rescue him;<br> I will protect him, for he acknowledges my name."
19,Psalms,91,15,NIV,"He will call on me, and I will answer him;<br> I will be with him in trouble,<br> I will deliver him and honor him."
19,Psalms,91,16,NIV,"With long life I will satisfy him<br> and show him my salvation."""
49,Ephesians ,1,3,NIV,"Praise be to the God and Father of our Lord Jesus Christ, who has blessed us in the heavenly realms with every spiritual blessing in Christ."
49,Ephesians ,1,4,NIV,For he chose us in him before the creation of the world to be holy and blameless in his sight. In love 
49,Ephesians ,1,5,NIV,"he predestined us for adoption to sonship through Jesus Christ, in accordance with his pleasure and will— "
49,Ephesians ,1,6,NIV,"to the praise of his glorious grace, which he has freely given us in the One he loves. "
49,Ephesians ,1,7,NIV,"In him we have redemption through his blood, the forgiveness of sins, in accordance with the riches of God’s grace"
49,Ephesians ,1,8,NIV,"that he lavished on us. With all wisdom and understanding, "
49,Ephesians ,1,9,NIV,"he made known to us the mystery of his will according to his good pleasure, which he purposed in Christ,"
49,Ephesians ,1,10,NIV,to be put into effect when the times reach their fulfillment—to bring unity to all things in heaven and on earth under Christ.
